run_date,store,domain,type,title,handle,url,rank_now,rank_before,delta,pct_gain,weighted_score,climb_streak_days,price,vendor,product_created,image
2026-09-08,Avery Lane Brighton,averylanebrighton.com,stijger,Calinae | Orthopaedic Sandals,calinae-orthopaedic-sandals,https://averylanebrighton.com/products/calinae-orthopaedic-sandals,234,262,28,10.7,1.83,4,44.95,Avery Lane Brighton,2026-07-06,https://cdn.shopify.com/s/files/1/0739/9948/2949/files/2d56009d0e3ce24c_720x-Photoroom.jpg?v=1783338073
2026-09-08,Avery Lane Brighton,averylanebrighton.com,stijger,Susan Long And Flowing Elegant Dress,susan-long-and-flowing-elegant-dress,https://averylanebrighton.com/products/susan-long-and-flowing-elegant-dress,297,323,26,8.0,1.51,3,,,,
2026-09-08,Avery Lane Brighton,averylanebrighton.com,stijger,Jennifer Wool Check Coat,jennifer-wool-check-coat,https://averylanebrighton.com/products/jennifer-wool-check-coat,251,275,24,8.7,1.51,4,49.95,Avery Lane Brighton,2026-07-07,https://cdn.shopify.com/s/files/1/0739/9948/2949/files/jpg_416209f9-aa66-48b0-99ab-29369e584c49.jpg?v=1783337513
2026-09-08,Avery Lane Brighton,averylanebrighton.com,stijger,Elara | Sequin Corset Evening Dress,elara-sequin-corset-evening-dress,https://averylanebrighton.com/products/elara-sequin-corset-evening-dress,274,297,23,7.7,1.39,3,44.95,Avery Lane Brighton,2026-07-06,https://cdn.shopify.com/s/files/1/0739/9948/2949/files/ElaraSequinCorsetEveningDress_6.png?v=1784909357
2026-09-08,Avery Lane Brighton,averylanebrighton.com,stijger,Larissa | Elegant Dress,larissa-elegant-dress,https://averylanebrighton.com/products/larissa-elegant-dress,261,282,21,7.4,1.3,3,24.95,Avery Lane Brighton,2026-07-07,https://cdn.shopify.com/s/files/1/0739/9948/2949/files/RIGUBEFIOBRG-Photoroom.jpg?v=1783337583
2026-09-08,By Emilia Rose,byemiliarose.com,stijger,Women's Peplum Business Blazer Two-Button Notch Lapel,womens-peplum-business-blazer-two-button-notch-lapel,https://byemiliarose.com/products/womens-peplum-business-blazer-two-button-notch-lapel,137,812,675,83.1,57.67,2,19.0,Emilia,2026-09-05,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Product_15554204107082_variant_Schwarz___S.jpg?v=1788589851
2026-09-08,By Emilia Rose,byemiliarose.com,stijger,Women’s Blouse with Button Fastening and Ruched Front,women-s-blouse-with-button-fastening-and-ruched-front,https://byemiliarose.com/products/women-s-blouse-with-button-fastening-and-ruched-front,196,299,103,34.4,7.36,2,67.0,Emilia Melbourne,2026-07-10,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sBlousewithButtonFasteningandRuchedFront_5.png?v=1783335229
2026-09-08,By Emilia Rose,byemiliarose.com,stijger,Women’s Mini Dress with Mock Neck and Split Sleeves,women-s-mini-dress-with-mock-neck-and-split-sleeves,https://byemiliarose.com/products/women-s-mini-dress-with-mock-neck-and-split-sleeves,243,334,91,27.2,5.84,2,52.0,Emilia Melbourne,2026-07-10,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sMiniDresswithMockNeckandSplitSleeves_1.png?v=1783335978
2026-09-08,By Emilia Rose,byemiliarose.com,stijger,Women’s Layered Dress with Round Neck and Sheer Overlay,women-s-layered-dress-with-round-neck-and-sheer-overlay,https://byemiliarose.com/products/women-s-layered-dress-with-round-neck-and-sheer-overlay,219,301,82,27.2,5.54,2,85.0,Emilia Melbourne,2026-07-06,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sLayeredDresswithRoundNeckandSheerOverlay_1.png?v=1783333514
2026-09-08,By Emilia Rose,byemiliarose.com,stijger,Women S Top With V Neckline And Long Sleeves,women-s-top-with-v-neckline-and-long-sleeves,https://byemiliarose.com/products/women-s-top-with-v-neckline-and-long-sleeves,285,351,66,18.8,3.91,1,,,,
2026-09-08,By Seabourne,byseabourne.com,stijger,Evelina%E2%84%A2 Floral Dress,evelina%E2%84%A2-floral-dress,https://byseabourne.com/products/evelina%E2%84%A2-floral-dress,272,307,35,11.4,2.12,1,,,,
2026-09-08,By Seabourne,byseabourne.com,stijger,Cara™ | Stylish Orthopedic Mary Jane Shoes,cara-stylish-orthopedic-mary-jane-shoes,https://byseabourne.com/products/cara-stylish-orthopedic-mary-jane-shoes,213,240,27,11.2,1.85,1,104.95,SEABOURNE,2026-07-23,https://cdn.shopify.com/s/files/1/0952/6175/3687/files/mary-jane-571394-Photoroom.jpg?v=1763696612
2026-09-08,By Seabourne,byseabourne.com,stijger,Lia™ | Elegant Knot Dress,lia-elegant-knot-dress,https://byseabourne.com/products/lia-elegant-knot-dress,261,288,27,9.4,1.67,2,109.95,SEABOURNE,2025-11-22,https://cdn.shopify.com/s/files/1/0952/6175/3687/files/lia-elegante-knoopjurk-3253313.webp?v=1763787161
2026-09-08,By Seabourne,byseabourne.com,stijger,Liorina™ | Khaki Leopard Print Pointed Toe Pumps,liorina-khaki-leopard-print-pointed-toe-pumps,https://byseabourne.com/products/liorina-khaki-leopard-print-pointed-toe-pumps,205,231,26,11.3,1.82,2,74.95,SEABOURNE,2025-10-14,https://cdn.shopify.com/s/files/1/0952/6175/3687/files/bdaa605db98cb31d4920ffa6c0b8e854.jpg?v=1760421339
2026-09-08,By Seabourne,byseabourne.com,stijger,Annalise™ | Summer Denim  Dress,annalise-summer-denim-dress,https://byseabourne.com/products/annalise-summer-denim-dress,258,284,26,9.2,1.62,1,99.95,SEABOURNE,2025-12-08,https://cdn.shopify.com/s/files/1/0952/6175/3687/files/Se5ab224a8f99480086400fae42abf764n.webp?v=1765174474
2026-09-08,Elle Charleston,elle-charleston.com,stijger,Mia Maxi Dress V Neck Kimono Sleeve Abstract Print Split,mia-maxi-dress-v-neck-kimono-sleeve-abstract-print-split,https://elle-charleston.com/products/mia-maxi-dress-v-neck-kimono-sleeve-abstract-print-split,286,317,31,9.8,1.83,2,,,,
2026-09-08,Elle Charleston,elle-charleston.com,stijger,Madison Satin Halter Midi Dress Sleeveless Sheath Floral Print,madison-satin-halter-midi-dress-sleeveless-sheath-floral-print,https://elle-charleston.com/products/madison-satin-halter-midi-dress-sleeveless-sheath-floral-print,297,325,28,8.6,1.62,2,,,,
2026-09-08,Elle Charleston,elle-charleston.com,stijger,Helena | Vintage Flower Cardigan,vintage-flower-art-print-buttoned-cardigan-sweater-1,https://elle-charleston.com/products/vintage-flower-art-print-buttoned-cardigan-sweater-1,278,301,23,7.6,1.38,0,51.95,Jennifer & John Charleston,2025-11-20,https://cdn.shopify.com/s/files/1/0959/2776/3327/files/4_3d32927f-dcd2-42ec-8bd9-3dbbbdc497e0.png?v=1763667176
2026-09-08,Elle Charleston,elle-charleston.com,stijger,Brynn%E2%84%A2,brynn%E2%84%A2,https://elle-charleston.com/products/brynn%E2%84%A2,208,230,22,9.6,1.53,0,,,,
2026-09-08,Elle Charleston,elle-charleston.com,stijger,Julianyssa | Orthopedic Heels,julianyssa,https://elle-charleston.com/products/julianyssa,245,267,22,8.2,1.41,0,67.95,Jennifer & John Charleston,2025-11-18,https://cdn.shopify.com/s/files/1/0959/2776/3327/files/O1CN018drdli1o0hnzt2HHl__2207512135163-0-cib_720x-Photoroom.webp?v=1763349933
2026-09-08,Jessica by Bee,jessicabybee.com,stijger,Zaira | Sleeveless Tie-Waist Pleated Tennis Dress,zaira-sleeveless-lace-textured-tennis-dress,https://jessicabybee.com/products/zaira-sleeveless-lace-textured-tennis-dress,267,321,54,16.8,3.3,1,44.95,Jessica By Bee,2026-07-06,https://cdn.shopify.com/s/files/1/0684/9105/1121/files/ZairaSleevelessTie-WaistPleatedTennisDress_3.png?v=1784978193
2026-09-08,Jessica by Bee,jessicabybee.com,stijger,Naomi | Elegant Cowl Neck Midi Dress,naomi-sculpted-v-neck-midi-dress,https://jessicabybee.com/products/naomi-sculpted-v-neck-midi-dress,151,185,34,18.4,2.77,1,34.95,Jessica By Bee,2026-07-06,https://cdn.shopify.com/s/files/1/0684/9105/1121/files/NaomiElegantCowlNeckMidiDress_1.png?v=1783579296
2026-09-08,Jessica by Bee,jessicabybee.com,stijger,Vionelle | Off Shoulder High Side Slit Maxi Dress,vionelle-off-shoulder-high-side-slit-maxi-dress,https://jessicabybee.com/products/vionelle-off-shoulder-high-side-slit-maxi-dress,246,268,22,8.2,1.4,1,34.95,Jessica By Bee,2026-07-06,https://cdn.shopify.com/s/files/1/0684/9105/1121/files/1_ecd68106-9598-4afd-9106-80bdad83ed44.png?v=1783330986
2026-09-08,Jessica by Bee,jessicabybee.com,stijger,Colin | Scatter Flower Midi Dress,colin-scatter-flower-midi-dress,https://jessicabybee.com/products/colin-scatter-flower-midi-dress,249,271,22,8.1,1.39,0,34.95,Jessica By Bee,2026-07-06,https://cdn.shopify.com/s/files/1/0684/9105/1121/files/1_0217fd9e-78eb-4718-a8ca-a48c3cc3f3a0.png?v=1783331359
2026-09-08,Jessica by Bee,jessicabybee.com,stijger,Aeris | Quiet Halter Midi Dress,aeris-quiet-halter-midi-dress,https://jessicabybee.com/products/aeris-quiet-halter-midi-dress,264,286,22,7.7,1.35,0,34.95,Jessica By Bee,2026-07-06,https://cdn.shopify.com/s/files/1/0684/9105/1121/files/1_aa8c23ba-e6c0-4ed9-977e-e87560c4df51.png?v=1783321784
2026-09-08,Leon Boutique,leonboutique.co,stijger,Greta | Damen Kurzarm Bindegürtel Weites-Bein Jumpsuit,greta-damen-kurzarm-bindegrtel-weites-bein-jumpsuit,https://leonboutique.co/products/greta-damen-kurzarm-bindegrtel-weites-bein-jumpsuit,124,137,13,9.5,1.17,2,56.95,Leon Boutique,2026-05-23,https://cdn.shopify.com/s/files/1/0873/5080/4829/files/damen-kurzarm-bindegrtel-weites-bein-jumpsuit-1.jpg?v=1779528474
2026-09-08,Leon Boutique,leonboutique.co,stijger,Susanne Damen V Ausschnitt Puffarmel Bluse,susanne-damen-v-ausschnitt-puffarmel-bluse,https://leonboutique.co/products/susanne-damen-v-ausschnitt-puffarmel-bluse,219,231,12,5.2,0.81,0,,,,
2026-09-08,Leon Boutique,leonboutique.co,nieuw,David | Herren Modernes Streetwear-Hoodie-Set,david-herren-modernes-streetwear-hoodie-set,https://leonboutique.co/products/david-herren-modernes-streetwear-hoodie-set,96,,,,,,54.95,,2026-09-08,https://cdn.shopify.com/s/files/1/0873/5080/4829/files/1_2b3312e8-77da-4f21-a576-e6df903fc7fe.png?v=1765611909
2026-09-08,Leon Boutique,leonboutique.co,nieuw,Doris | Damen Blumen V-Neck Maxi Kleid,doris-damen-blumen-v-neck-maxi-kleid,https://leonboutique.co/products/doris-damen-blumen-v-neck-maxi-kleid,141,,,,,,57.95,,2026-09-08,https://cdn.shopify.com/s/files/1/0873/5080/4829/files/C1_f849256a-41e2-4020-ba6c-6bb01b7028c9.jpg?v=1767178306
