run_date,store,domain,type,title,handle,url,rank_now,rank_before,delta,pct_gain,weighted_score,climb_streak_days,price,vendor,product_created,image
2026-09-26,Avery Lane Brighton,averylanebrighton.com,stijger,Tynni Orthopaedic Boots,tynni-orthopaedic-boots,https://averylanebrighton.com/products/tynni-orthopaedic-boots,300,322,22,6.8,1.27,1,,,,
2026-09-26,Avery Lane Brighton,averylanebrighton.com,stijger,Prism Elegant Trousers,prism-elegant-trousers,https://averylanebrighton.com/products/prism-elegant-trousers,285,300,15,5.0,0.89,1,,,,
2026-09-26,By Emilia Rose,byemiliarose.com,stijger,Women’s High-Waist Suede-Look Mini Skirt with Long Fringe,women-s-mini-skirt-with-high-waist-and-fringe-hem,https://byemiliarose.com/products/women-s-mini-skirt-with-high-waist-and-fringe-hem,257,286,29,10.1,1.81,1,58.0,Emilia Rose,2026-07-10,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sHigh-WaistSuede-LookMiniSkirtwithLongFringe_5.png?v=1785565151
2026-09-26,By Emilia Rose,byemiliarose.com,stijger,Women's Orthopaedic Sandals with Thick Heels for Summer,womens-orthopaedic-sandals-with-thick-heels-for-summer,https://byemiliarose.com/products/womens-orthopaedic-sandals-with-thick-heels-for-summer,100,110,10,9.1,1.0,1,58.0,Emilia Rose,2026-07-08,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sOrthopaedicSandalswithAdjustableAnkleStrapforSummer_1.png?v=1783334535
2026-09-26,By Seabourne,byseabourne.com,stijger,"Alessia | Supportive Style, All-Day Comfort",alessia-supportive-style-all-day-comfort,https://byseabourne.com/products/alessia-supportive-style-all-day-comfort,284,321,37,11.5,2.2,1,84.95,SEABOURNE,2025-10-14,https://cdn.shopify.com/s/files/1/0952/6175/3687/files/927f7b2701d09c80df08866b19e52690_BDxnKdtQQAk1r.jpg?v=1760372814
2026-09-26,Elle Charleston,elle-charleston.com,stijger,Makayla Women S Wedding Guest Pleated Cape Maxi Dress,makayla-women-s-wedding-guest-pleated-cape-maxi-dress,https://elle-charleston.com/products/makayla-women-s-wedding-guest-pleated-cape-maxi-dress,168,182,14,7.7,1.08,1,,,,
2026-09-26,Haus of Mode,hausofmode.de,nieuw,"3-in-1 Figurformende Shorts: Bauchkontrolle, Po-Lifting & nahtloser Komfort",3-in-1-figurformende-shorts-bauchkontrolle-po-lifting-and-nahtloser-komfort,https://hausofmode.de/products/3-in-1-figurformende-shorts-bauchkontrolle-po-lifting-and-nahtloser-komfort,122,,,,,,34.95,,2026-09-26,https://cdn.shopify.com/s/files/1/0765/0125/4469/files/shapeice8.webp?v=1790043182
2026-09-26,Jessica by Bee,jessicabybee.com,stijger,Neverine | Plunge Halter Ruched Fitted Maxi Dress,neverine-plunge-halter-ruched-fitted-maxi-dress,https://jessicabybee.com/products/neverine-plunge-halter-ruched-fitted-maxi-dress,242,257,15,5.8,0.96,1,39.95,Jessica By Bee,2026-07-06,https://cdn.shopify.com/s/files/1/0684/9105/1121/files/Use_Image_1_as_the_primarybase_Nano_Banana_2_61272.png?v=1786860269
2026-09-26,Jessica by Bee,jessicabybee.com,stijger,June | Off Shoulder Draped Midi Dress,june-off-shoulder-draped-midi-dress,https://jessicabybee.com/products/june-off-shoulder-draped-midi-dress,111,121,10,8.3,0.95,1,49.95,Jessica By Bee,2026-07-06,https://cdn.shopify.com/s/files/1/0684/9105/1121/files/1_ffe0d561-378f-4582-83fe-5e517f3c779a.png?v=1783330727
2026-09-26,Leon Boutique,leonboutique.co,stijger,Elise | Damen Traditionelles Kleid mit Kragen und fließender Passform,elise-damen-traditionelles-kleid-mit-kragen-und-fliessender-passform,https://leonboutique.co/products/elise-damen-traditionelles-kleid-mit-kragen-und-fliessender-passform,229,358,129,36.0,8.52,3,39.95,Fjorden Mode,2026-09-08,https://cdn.shopify.com/s/files/1/0873/5080/4829/files/Beige_85232f7b-e059-4064-abd7-3dc1d4203b1b.jpg?v=1753245332
2026-09-26,Made by Jessica,madebyjessica.store,stijger,Women S Knee High Boots With Block Heel And Pointed Toe,women-s-knee-high-boots-with-block-heel-and-pointed-toe,https://madebyjessica.store/products/women-s-knee-high-boots-with-block-heel-and-pointed-toe,284,498,214,43.0,12.7,1,,,,
